id,text
1,Nice shoes. Did you choose those yourself?
2,Nice jacket. My little cousin has one like that.
3,Nice style. That’s a confident choice.
4,Nice hair. Did it start like that?
5,Nice glasses. Are those part of the look?
6,Nice watch. Is it mostly decorative?
7,Nice outfit. That’s bold.
8,Nice smile. Do you practice that?
9,Nice nails. Did you do them yourself?
10,Nice earrings. Are those ironic?
11,Nice shoes. Comfortable at least?
12,Nice jacket. That’s definitely a vibe.
13,Nice shirt. That’s a statement.
14,Nice bag. Does it come with stories?
15,Nice outfit. You look confident wearing that.
16,Nice haircut. That must take commitment.
17,Nice look. That’s memorable.
18,Nice boots. You look ready for trouble.
19,Nice jacket. That’s expressive.
20,Nice style. That’s… unique.
21,Nice hair. Is it real?
22,Nice hair. Did it always look like that?
23,Nice eyelashes. Are those real?
24,Nice tan. Is that natural?
25,Nice nails. Are those yours?
26,Nice curls. Did you wake up like that?
27,Nice highlights. Was that intentional?
28,Nice makeup. That must take practice.
29,Nice eyebrows. Did you do those yourself?
30,Nice perfume. That’s… strong.
31,Nice shoes. Did you borrow those?
32,Nice outfit. Is that your usual style?
33,Nice ring. Is that part of the look?
34,Nice hair. That must take maintenance.
35,Nice jacket. That’s definitely a choice.
36,Nice smile. Is that your default setting?
37,Nice nails. That must take patience.
38,Nice lipstick. Is that the bold version?
39,Nice style. Do people usually notice it?
40,Nice watch. Is that mostly for show?
41,Okay let me guess — who's the fun one in your group?
42,"Wait, which one of you is the responsible one?"
43,Let me guess — you're the troublemaker and she's the responsible one.
44,Okay who’s the leader in your group?
45,Which one of you gets everyone into trouble?
46,Who’s the one who convinces everyone to stay out?
47,Who’s the bad influence here?
48,Let me guess — you're the wild one.
49,Which one of you is the sensible friend?
50,Who’s the one with the bad ideas?
51,Which one of you starts the chaos?
52,Let me guess — you're the quiet dangerous one.
53,Who’s the responsible adult here?
54,Which one of you is the voice of reason?
55,Which one of you gets bored first?
56,Let me guess — you're the dramatic one.
57,Who’s the unpredictable one?
58,Which one of you talks the most?
59,Who’s the one who escalates things?
60,Let me guess — you're the instigator.
61,You seem like a bad idea.
62,"You seem fun, but exhausting."
63,You seem interesting… and slightly dangerous.
64,You seem like trouble waiting to happen.
65,You seem like chaos in human form.
66,You seem like someone people regret following.
67,You seem like someone who escalates everything.
68,You seem like someone who collects drama.
69,You seem like someone who enjoys pushing limits.
70,You seem like someone who enjoys risky ideas.
71,You seem like someone who gets people into trouble.
72,You seem like someone who tests patience.
73,You seem like someone who causes interesting problems.
74,You seem like someone who enjoys being difficult.
75,You seem like someone who enjoys stirring the pot.
76,You seem like someone who enjoys chaos more than peace.
77,You seem like someone who starts stories.
78,You seem like someone who enjoys challenging people.
79,You seem like someone who refuses boring nights.
80,You seem like someone who makes things unpredictable.
81,Nice nails. Are those real?
82,Nice hair. Is that all yours?
83,That’s a cute jacket. My little sister has one like it.
84,You look adorable… almost.
85,That’s a bold outfit. I respect the confidence.
86,You seem sweet. I’ll try not to corrupt you.
87,You look like trouble. I should probably avoid you.
88,You look like someone who gets bored easily.
89,You seem like the type who causes drama and then blames someone else.
90,You seem like you’d argue just for fun.
91,"Wait, let me guess — you’re the troublemaker in your group."
92,"Okay, which one of you is the bad influence?"
93,Let me guess — you’re the one who convinces everyone to stay out late.
94,"Wait, who’s the responsible one here?"
95,You look like the unpredictable one.
96,You seem like someone I shouldn’t trust with bad ideas.
97,You seem fun… but dangerous.
98,You seem like someone who escalates things quickly.
99,You seem like chaos disguised as a good idea.
100,You seem like someone who enjoys trouble.
