id,text
1,Nice shoes. Did you choose those yourself?
2,Nice jacket. My little cousin has one like that.
3,Nice style. That’s a confident choice.
4,Nice hair. Did it start like that?
5,Nice glasses. Are those part of the look?
6,Nice watch. Is it mostly decorative?
7,Nice outfit. That’s bold.
8,Nice smile. Do you practice that?
9,Nice nails. Did you do them yourself?
10,Nice earrings. Are those ironic?
11,Nice shoes. Comfortable at least?
12,Nice jacket. That’s definitely a vibe.
13,Nice shirt. That’s a statement.
14,Nice bag. Does it come with stories?
15,Nice outfit. You look confident wearing that.
16,Nice haircut. That must take commitment.
17,Nice look. That’s memorable.
18,Nice boots. You look ready for trouble.
19,Nice jacket. That’s expressive.
20,Nice style. That’s… unique.
21,Nice hair. Is it real?
22,Nice hair. Did it always look like that?
23,Nice eyelashes. Are those real?
24,Nice tan. Is that natural?
25,Nice nails. Are those yours?
26,Nice curls. Did you wake up like that?
27,Nice highlights. Was that intentional?
28,Nice makeup. That must take practice.
29,Nice eyebrows. Did you do those yourself?
30,Nice perfume. That’s… strong.
31,Nice shoes. Did you borrow those?
32,Nice outfit. Is that your usual style?
33,Nice ring. Is that part of the look?
34,Nice hair. That must take maintenance.
35,Nice jacket. That’s definitely a choice.
36,Nice smile. Is that your default setting?
37,Nice nails. That must take patience.
38,Nice lipstick. Is that the bold version?
39,Nice style. Do people usually notice it?
40,Nice watch. Is that mostly for show?
41,Okay let me guess — who's the fun one in your group?
42,"Wait, which one of you is the responsible one?"
43,Let me guess — you're the troublemaker and she's the responsible one.
44,Okay who’s the leader in your group?
45,Which one of you gets everyone into trouble?
46,Who’s the one who convinces everyone to stay out?
47,Who’s the bad influence here?
48,Let me guess — you're the wild one.
49,Which one of you is the sensible friend?
50,Who’s the one with the bad ideas?
51,Which one of you starts the chaos?
52,Let me guess — you're the quiet dangerous one.
53,Who’s the responsible adult here?
54,Which one of you is the voice of reason?
55,Which one of you gets bored first?
56,Let me guess — you're the dramatic one.
57,Who’s the unpredictable one?
58,Which one of you talks the most?
59,Who’s the one who escalates things?
60,Let me guess — you're the instigator.
61,You seem like a bad idea.
62,"You seem fun, but exhausting."
63,You seem interesting… and slightly dangerous.
64,You seem like trouble waiting to happen.
65,You seem like chaos in human form.
66,You seem like someone people regret following.
67,You seem like someone who escalates everything.
68,You seem like someone who collects drama.
69,You seem like someone who enjoys pushing limits.
70,You seem like someone who enjoys risky ideas.
71,You seem like someone who gets people into trouble.
72,You seem like someone who tests patience.
73,You seem like someone who causes interesting problems.
74,You seem like someone who enjoys being difficult.
75,You seem like someone who enjoys stirring the pot.
76,You seem like someone who enjoys chaos more than peace.
77,You seem like someone who starts stories.
78,You seem like someone who enjoys challenging people.
79,You seem like someone who refuses boring nights.
80,You seem like someone who makes things unpredictable.
81,Nice nails. Are those real?
82,Nice hair. Is that all yours?
83,That’s a cute jacket. My little sister has one like it.
84,You look adorable… almost.
85,That’s a bold outfit. I respect the confidence.
86,You seem sweet. I’ll try not to corrupt you.
87,You look like trouble. I should probably avoid you.
88,You look like someone who gets bored easily.
89,You seem like the type who causes drama and then blames someone else.
90,You seem like you’d argue just for fun.
91,"Wait, let me guess — you’re the troublemaker in your group."
92,"Okay, which one of you is the bad influence?"
93,Let me guess — you’re the one who convinces everyone to stay out late.
94,"Wait, who’s the responsible one here?"
95,You look like the unpredictable one.
96,You seem like someone I shouldn’t trust with bad ideas.
97,You seem fun… but dangerous.
98,You seem like someone who escalates things quickly.
99,You seem like chaos disguised as a good idea.
100,You seem like someone who enjoys trouble.
101,You're really cute... but you have something on your tooth.
102,That's a nice outfit. My aunt has one just like it.
103,You're not my type... you're better.
104,Who lied to you and told you that you were pretty?
105,"Did you see that? That guy just tried to steal your drink, I had to stop him."
106,"I know this is sudden, but I saw you from over there and wanted to say hi."
107,"I'm going to be honest, I'm a bit nervous, but I had to come say hi."
108,You look super fun.
109,Interesting necklace. Where did you get it? My sister has been looking for one like that.
110,Is that drink any good? I was thinking about ordering it next time.
111,"I know we just made eye contact, but I'm mentally naming our future dog."
112,You're hot.
113,I was going to mind my business but then you showed up.
114,Do I know you? You look like someone I should know.
115,"Aside from being attractive, what do you do for a living?"
116,"Hey, you're pretty and I'm cute. Together we'd be pretty cute."
117,You seem... interesting.
118,You have the funniest expressions.
119,You're trouble.
120,You're actually kinda cute.
121,You're actually pretty okay... I didn't expect to like you at first.
122,Stop looking at me like that.
123,I'm going to pretend you didn't just say that because I'm enjoying liking you.
124,You won't get into my pants if you keep doing that.
125,Damn... please stop being so cute.
126,I'm not going to sleep with you tonight.
127,You would make a great girlfriend... if you weren't so pushy.
128,I kind of want to have breakfast with you.
129,I kind of want to make you my favorite person in this city.
130,I have to ask you something important: do you sleep on the left or the right side of the bed?
131,I feel like there's some weird energy between us.
132,What are we supposed to do with this energy between us?
133,"I have to go back to my friends, but this conversation is getting interesting."
134,"It's a shame there are so many people here, it's hard to focus on this conversation."
135,There's something attractive about you but I'm not sure what it is.
